date,institution_id,syndrome_category,service_count,day_of_week,is_holiday,data_completeness,rolling_7day_avg,rolling_14day_avg
2025-01-01,inst-d,acute_allergic_anaphylactic,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,acute_coronary_ischemic,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,acute_encephalitic,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,acute_febrile_illness,4,2,0,1.0,4.0,4.0
2025-01-01,inst-d,acute_fever_rash,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,acute_flaccid_paralysis,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,acute_heart_failure_congestive,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,acute_hemolytic_cytopenic,1,2,0,1.0,1.0,1.0
2025-01-01,inst-d,acute_jaundice_hepatitic,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,acute_kidney_injury_oliguria,1,2,0,1.0,1.0,1.0
2025-01-01,inst-d,acute_ophthalmic_conjunctivitis,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,acute_otolaryngologic_suppurative,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,acute_watery_diarrhea,5,2,0,1.0,5.0,5.0
2025-01-01,inst-d,bloody_diarrhea_dysentery,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,bronchospastic_obstructive,3,2,0,1.0,3.0,3.0
2025-01-01,inst-d,cardiac_arrhythmic_syncope,1,2,0,1.0,1.0,1.0
2025-01-01,inst-d,chemical_toxic_inhalation,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,cranial_neuropathy_dysautonomia,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,cutaneous_ulcerative_eschar,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,environmental_heat_stroke,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,environmental_hypothermia_cold,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,febrile_arthritic,1,2,0,1.0,1.0,1.0
2025-01-01,inst-d,febrile_enteric,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,fever_flu,8,2,0,1.0,8.0,8.0
2025-01-01,inst-d,foodborne_neurotoxic,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,gastroenteritis_emetic,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,gastrointestinal,23,2,0,1.0,23.0,23.0
2025-01-01,inst-d,influenza_like_illness,4,2,0,1.0,4.0,4.0
2025-01-01,inst-d,lower_respiratory_illness,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,meningeal_irritation,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,mucocutaneous_lymph_node,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,oral_ulcerative_stomatitis,2,2,0,1.0,2.0,2.0
2025-01-01,inst-d,other,8,2,0,1.0,8.0,8.0
2025-01-01,inst-d,pediatric_croup_stridor,3,2,0,1.0,3.0,3.0
2025-01-01,inst-d,pediatric_malnutrition_wasting,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,post_infectious_asthenia,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,respiratory,15,2,0,1.0,15.0,15.0
2025-01-01,inst-d,severe_acute_respiratory_infection,3,2,0,1.0,3.0,3.0
2025-01-01,inst-d,severe_dehydration_shock,1,2,0,1.0,1.0,1.0
2025-01-01,inst-d,systemic_inflammatory_sepsis,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,unspecified_community_cluster,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,upper_respiratory_infection,3,2,0,1.0,3.0,3.0
2025-01-01,inst-d,urinary_tract_infection_febrile,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,vector_lymphatic_filarial,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,vector_malaria_paroxysmal,3,2,0,1.0,3.0,3.0
2025-01-01,inst-d,vesiculopustular_eruptive,3,2,0,1.0,3.0,3.0
2025-01-01,inst-d,viral_hemorrhagic_fever,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,zoonotic_leptospiral,0,2,0,1.0,0.0,0.0
2025-01-01,inst-d,zoonotic_rabies_encephalopathy,0,2,0,1.0,0.0,0.0
2025-01-02,inst-d,acute_allergic_anaphylactic,3,3,0,1.0,2.5,2.5
2025-01-02,inst-d,acute_coronary_ischemic,1,3,0,1.0,0.5,0.5
2025-01-02,inst-d,acute_encephalitic,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,acute_febrile_illness,5,3,0,1.0,4.5,4.5
2025-01-02,inst-d,acute_fever_rash,2,3,0,1.0,2.0,2.0
2025-01-02,inst-d,acute_flaccid_paralysis,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,acute_heart_failure_congestive,0,3,0,1.0,1.0,1.0
2025-01-02,inst-d,acute_hemolytic_cytopenic,1,3,0,1.0,1.0,1.0
2025-01-02,inst-d,acute_jaundice_hepatitic,0,3,0,1.0,1.0,1.0
2025-01-02,inst-d,acute_kidney_injury_oliguria,0,3,0,1.0,0.5,0.5
2025-01-02,inst-d,acute_ophthalmic_conjunctivitis,0,3,0,1.0,1.0,1.0
2025-01-02,inst-d,acute_otolaryngologic_suppurative,4,3,0,1.0,3.0,3.0
2025-01-02,inst-d,acute_watery_diarrhea,5,3,0,1.0,5.0,5.0
2025-01-02,inst-d,bloody_diarrhea_dysentery,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,bronchospastic_obstructive,6,3,0,1.0,4.5,4.5
2025-01-02,inst-d,cardiac_arrhythmic_syncope,1,3,0,1.0,1.0,1.0
2025-01-02,inst-d,chemical_toxic_inhalation,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,cranial_neuropathy_dysautonomia,1,3,0,1.0,0.5,0.5
2025-01-02,inst-d,cutaneous_ulcerative_eschar,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,environmental_heat_stroke,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,environmental_hypothermia_cold,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,febrile_arthritic,3,3,0,1.0,2.0,2.0
2025-01-02,inst-d,febrile_enteric,0,3,0,1.0,1.0,1.0
2025-01-02,inst-d,fever_flu,9,3,0,1.0,8.5,8.5
2025-01-02,inst-d,foodborne_neurotoxic,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,gastroenteritis_emetic,3,3,0,1.0,1.5,1.5
2025-01-02,inst-d,gastrointestinal,9,3,0,1.0,16.0,16.0
2025-01-02,inst-d,influenza_like_illness,4,3,0,1.0,4.0,4.0
2025-01-02,inst-d,lower_respiratory_illness,0,3,0,1.0,1.0,1.0
2025-01-02,inst-d,meningeal_irritation,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,mucocutaneous_lymph_node,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,oral_ulcerative_stomatitis,0,3,0,1.0,1.0,1.0
2025-01-02,inst-d,other,4,3,0,1.0,6.0,6.0
2025-01-02,inst-d,pediatric_croup_stridor,4,3,0,1.0,3.5,3.5
2025-01-02,inst-d,pediatric_malnutrition_wasting,1,3,0,1.0,0.5,0.5
2025-01-02,inst-d,post_infectious_asthenia,1,3,0,1.0,0.5,0.5
2025-01-02,inst-d,respiratory,10,3,0,1.0,12.5,12.5
2025-01-02,inst-d,severe_acute_respiratory_infection,0,3,0,1.0,1.5,1.5
2025-01-02,inst-d,severe_dehydration_shock,0,3,0,1.0,0.5,0.5
2025-01-02,inst-d,systemic_inflammatory_sepsis,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,unspecified_community_cluster,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,upper_respiratory_infection,6,3,0,1.0,4.5,4.5
2025-01-02,inst-d,urinary_tract_infection_febrile,1,3,0,1.0,0.5,0.5
2025-01-02,inst-d,vector_lymphatic_filarial,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,vector_malaria_paroxysmal,1,3,0,1.0,2.0,2.0
2025-01-02,inst-d,vesiculopustular_eruptive,0,3,0,1.0,1.5,1.5
2025-01-02,inst-d,viral_hemorrhagic_fever,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,zoonotic_leptospiral,0,3,0,1.0,0.0,0.0
2025-01-02,inst-d,zoonotic_rabies_encephalopathy,0,3,0,1.0,0.0,0.0
2025-01-03,inst-d,acute_allergic_anaphylactic,1,4,0,1.0,2.0,2.0
2025-01-03,inst-d,acute_coronary_ischemic,0,4,0,1.0,0.33,0.33
2025-01-03,inst-d,acute_encephalitic,0,4,0,1.0,0.0,0.0
2025-01-03,inst-d,acute_febrile_illness,11,4,0,1.0,6.67,6.67
2025-01-03,inst-d,acute_fever_rash,2,4,0,1.0,2.0,2.0
2025-01-03,inst-d,acute_flaccid_paralysis,0,4,0,1.0,0.0,0.0
2025-01-03,inst-d,acute_heart_failure_congestive,1,4,0,1.0,1.0,1.0
2025-01-03,inst-d,acute_hemolytic_cytopenic,0,4,0,1.0,0.67,0.67
2025-01-03,inst-d,acute_jaundice_hepatitic,0,4,0,1.0,0.67,0.67
2025-01-03,inst-d,acute_kidney_injury_oliguria,0,4,0,1.0,0.33,0.33
2025-01-03,inst-d,acute_ophthalmic_conjunctivitis,0,4,0,1.0,0.67,0.67
2025-01-03,inst-d,acute_otolaryngologic_suppurative,3,4,0,1.0,3.0,3.0
2025-01-03,inst-d,acute_watery_diarrhea,4,4,0,1.0,4.67,4.67
2025-01-03,inst-d,bloody_diarrhea_dysentery,2,4,0,1.0,0.67,0.67
2025-01-03,inst-d,bronchospastic_obstructive,3,4,0,1.0,4.0,4.0
2025-01-03,inst-d,cardiac_arrhythmic_syncope,0,4,0,1.0,0.67,0.67
2025-01-03,inst-d,chemical_toxic_inhalation,0,4,0,1.0,0.0,0.0
2025-01-03,inst-d,cranial_neuropathy_dysautonomia,0,4,0,1.0,0.33,0.33
2025-01-03,inst-d,cutaneous_ulcerative_eschar,1,4,0,1.0,0.33,0.33
2025-01-03,inst-d,environmental_heat_stroke,0,4,0,1.0,0.0,0.0
2025-01-03,inst-d,environmental_hypothermia_cold,0,4,0,1.0,0.0,0.0
2025-01-03,inst-d,febrile_arthritic,2,4,0,1.0,2.0,2.0
2025-01-03,inst-d,febrile_enteric,2,4,0,1.0,1.33,1.33
2025-01-03,inst-d,fever_flu,3,4,0,1.0,6.67,6.67
2025-01-03,inst-d,foodborne_neurotoxic,0,4,0,1.0,0.0,0.0
2025-01-03,inst-d,gastroenteritis_emetic,3,4,0,1.0,2.0,2.0
