date,institution_id,syndrome_category,service_count,day_of_week,is_holiday,data_completeness,rolling_7day_avg,rolling_14day_avg
2025-01-01,inst-b,fever_flu,20,2,0,1.0,20.0,20.0
2025-01-01,inst-b,gastrointestinal,30,2,0,1.0,30.0,30.0
2025-01-01,inst-b,other,6,2,0,1.0,6.0,6.0
2025-01-01,inst-b,respiratory,16,2,0,1.0,16.0,16.0
2025-01-02,inst-b,fever_flu,29,3,0,1.0,24.5,24.5
2025-01-02,inst-b,gastrointestinal,42,3,0,1.0,36.0,36.0
2025-01-02,inst-b,other,10,3,0,1.0,8.0,8.0
2025-01-02,inst-b,respiratory,15,3,0,1.0,15.5,15.5
2025-01-03,inst-b,fever_flu,26,4,0,1.0,25.0,25.0
2025-01-03,inst-b,gastrointestinal,40,4,0,1.0,37.33,37.33
2025-01-03,inst-b,other,7,4,0,1.0,7.67,7.67
2025-01-03,inst-b,respiratory,12,4,0,1.0,14.33,14.33
2025-01-04,inst-b,fever_flu,17,5,1,1.0,23.0,23.0
2025-01-04,inst-b,gastrointestinal,37,5,1,1.0,37.25,37.25
2025-01-04,inst-b,other,10,5,1,1.0,8.25,8.25
2025-01-04,inst-b,respiratory,16,5,1,1.0,14.75,14.75
2025-01-05,inst-b,fever_flu,16,6,1,1.0,21.6,21.6
2025-01-05,inst-b,gastrointestinal,39,6,1,1.0,37.6,37.6
2025-01-05,inst-b,other,7,6,1,1.0,8.0,8.0
2025-01-05,inst-b,respiratory,16,6,1,1.0,15.0,15.0
2025-01-06,inst-b,fever_flu,29,0,0,1.0,22.83,22.83
2025-01-06,inst-b,gastrointestinal,35,0,0,1.0,37.17,37.17
2025-01-06,inst-b,other,7,0,0,1.0,7.83,7.83
2025-01-06,inst-b,respiratory,20,0,0,1.0,15.83,15.83
2025-01-07,inst-b,fever_flu,14,1,0,1.0,21.57,21.57
2025-01-07,inst-b,gastrointestinal,42,1,0,1.0,37.86,37.86
2025-01-07,inst-b,other,3,1,0,1.0,7.14,7.14
2025-01-07,inst-b,respiratory,17,1,0,1.0,16.0,16.0
2025-01-08,inst-b,fever_flu,17,2,0,1.0,21.14,21.0
2025-01-08,inst-b,gastrointestinal,43,2,0,1.0,39.71,38.5
2025-01-08,inst-b,other,15,2,0,1.0,8.43,8.12
2025-01-08,inst-b,respiratory,10,2,0,1.0,15.14,15.25
2025-01-09,inst-b,fever_flu,28,3,0,1.0,21.0,21.78
2025-01-09,inst-b,gastrointestinal,38,3,0,1.0,39.14,38.44
2025-01-09,inst-b,other,14,3,0,1.0,9.0,8.78
2025-01-09,inst-b,respiratory,14,3,0,1.0,15.0,15.11
2025-01-10,inst-b,fever_flu,25,4,0,1.0,20.86,22.1
2025-01-10,inst-b,gastrointestinal,44,4,0,1.0,39.71,39.0
2025-01-10,inst-b,other,10,4,0,1.0,9.43,8.9
2025-01-10,inst-b,respiratory,24,4,0,1.0,16.71,16.0
2025-01-11,inst-b,fever_flu,16,5,1,1.0,20.71,21.55
2025-01-11,inst-b,gastrointestinal,32,5,1,1.0,39.0,38.36
2025-01-11,inst-b,other,8,5,1,1.0,9.14,8.82
2025-01-11,inst-b,respiratory,19,5,1,1.0,17.14,16.27
2025-01-12,inst-b,fever_flu,23,6,1,1.0,21.71,21.67
2025-01-12,inst-b,gastrointestinal,33,6,1,1.0,38.14,37.92
2025-01-12,inst-b,other,11,6,1,1.0,9.71,9.0
2025-01-12,inst-b,respiratory,15,6,1,1.0,17.0,16.17
2025-01-13,inst-b,fever_flu,15,0,0,1.0,19.71,21.15
2025-01-13,inst-b,gastrointestinal,45,0,0,1.0,39.57,38.46
2025-01-13,inst-b,other,8,0,0,1.0,9.86,8.92
2025-01-13,inst-b,respiratory,17,0,0,1.0,16.57,16.23
2025-01-14,inst-b,fever_flu,19,1,0,1.0,20.43,21.0
2025-01-14,inst-b,gastrointestinal,24,1,0,1.0,37.0,37.43
2025-01-14,inst-b,other,8,1,0,1.0,10.57,8.86
2025-01-14,inst-b,respiratory,13,1,0,1.0,16.0,16.0
2025-01-15,inst-b,fever_flu,15,2,0,1.0,20.14,20.64
2025-01-15,inst-b,gastrointestinal,39,2,0,1.0,36.43,38.07
2025-01-15,inst-b,other,13,2,0,1.0,10.29,9.36
2025-01-15,inst-b,respiratory,22,2,0,1.0,17.71,16.43
2025-01-16,inst-b,fever_flu,19,3,0,1.0,18.86,19.93
2025-01-16,inst-b,gastrointestinal,39,3,0,1.0,36.57,37.86
2025-01-16,inst-b,other,5,3,0,1.0,9.0,9.0
2025-01-16,inst-b,respiratory,21,3,0,1.0,18.71,16.86
2025-01-17,inst-b,fever_flu,28,4,0,1.0,19.29,20.07
2025-01-17,inst-b,gastrointestinal,42,4,0,1.0,36.29,38.0
2025-01-17,inst-b,other,12,4,0,1.0,9.29,9.36
2025-01-17,inst-b,respiratory,14,4,0,1.0,17.29,17.0
2025-01-18,inst-b,fever_flu,20,5,1,1.0,19.86,20.29
2025-01-18,inst-b,gastrointestinal,28,5,1,1.0,35.71,37.36
2025-01-18,inst-b,other,3,5,1,1.0,8.57,8.86
2025-01-18,inst-b,respiratory,13,5,1,1.0,16.43,16.79
2025-01-19,inst-b,fever_flu,17,6,1,1.0,19.0,20.36
2025-01-19,inst-b,gastrointestinal,34,6,1,1.0,35.86,37.0
2025-01-19,inst-b,other,3,6,1,1.0,7.43,8.57
2025-01-19,inst-b,respiratory,17,6,1,1.0,16.71,16.86
2025-01-20,inst-b,fever_flu,14,0,0,1.0,18.86,19.29
2025-01-20,inst-b,gastrointestinal,32,0,0,1.0,34.0,36.79
2025-01-20,inst-b,other,0,0,0,1.0,6.29,8.07
2025-01-20,inst-b,respiratory,18,0,0,1.0,16.86,16.71
2025-01-21,inst-b,fever_flu,27,1,0,1.0,20.0,20.21
2025-01-21,inst-b,gastrointestinal,45,1,0,1.0,37.0,37.0
2025-01-21,inst-b,other,6,1,0,1.0,6.0,8.29
2025-01-21,inst-b,respiratory,15,1,0,1.0,17.14,16.57
2025-01-22,inst-b,fever_flu,14,2,0,1.0,19.86,20.0
2025-01-22,inst-b,gastrointestinal,37,2,0,1.0,36.71,36.57
2025-01-22,inst-b,other,8,2,0,1.0,5.29,7.79
2025-01-22,inst-b,respiratory,13,2,0,1.0,15.86,16.79
2025-01-23,inst-b,fever_flu,19,3,0,1.0,19.86,19.36
2025-01-23,inst-b,gastrointestinal,42,3,0,1.0,37.14,36.86
2025-01-23,inst-b,other,7,3,0,1.0,5.57,7.29
2025-01-23,inst-b,respiratory,19,3,0,1.0,15.57,17.14
2025-01-24,inst-b,fever_flu,18,4,0,1.0,18.43,18.86
2025-01-24,inst-b,gastrointestinal,29,4,0,1.0,35.29,35.79
2025-01-24,inst-b,other,9,4,0,1.0,5.14,7.21
2025-01-24,inst-b,respiratory,12,4,0,1.0,15.29,16.29
2025-01-25,inst-b,fever_flu,25,5,1,1.0,19.14,19.5
2025-01-25,inst-b,gastrointestinal,29,5,1,1.0,35.43,35.57
2025-01-25,inst-b,other,7,5,1,1.0,5.71,7.14
2025-01-25,inst-b,respiratory,19,5,1,1.0,16.14,16.29
2025-01-26,inst-b,fever_flu,8,6,1,1.0,17.86,18.43
2025-01-26,inst-b,gastrointestinal,29,6,1,1.0,34.71,35.29
2025-01-26,inst-b,other,10,6,1,1.0,6.71,7.07
2025-01-26,inst-b,respiratory,15,6,1,1.0,15.86,16.29
2025-01-27,inst-b,fever_flu,19,0,0,1.0,18.57,18.71
2025-01-27,inst-b,gastrointestinal,33,0,0,1.0,34.86,34.43
2025-01-27,inst-b,other,9,0,0,1.0,8.0,7.14
2025-01-27,inst-b,respiratory,18,0,0,1.0,15.86,16.36
2025-01-28,inst-b,fever_flu,22,1,0,1.0,17.86,18.93
2025-01-28,inst-b,gastrointestinal,30,1,0,1.0,32.71,34.86
2025-01-28,inst-b,other,4,1,0,1.0,7.71,6.86
2025-01-28,inst-b,respiratory,9,1,0,1.0,15.0,16.07
2025-01-29,inst-b,fever_flu,20,2,0,1.0,18.71,19.29
2025-01-29,inst-b,gastrointestinal,24,2,0,1.0,30.86,33.79
2025-01-29,inst-b,other,7,2,0,1.0,7.57,6.43
2025-01-29,inst-b,respiratory,16,2,0,1.0,15.43,15.64
2025-01-30,inst-b,fever_flu,16,3,0,1.0,18.29,19.07
2025-01-30,inst-b,gastrointestinal,41,3,0,1.0,30.71,33.93
2025-01-30,inst-b,other,5,3,0,1.0,7.29,6.43
2025-01-30,inst-b,respiratory,9,3,0,1.0,14.0,14.79
2025-01-31,inst-b,fever_flu,14,4,0,1.0,17.71,18.07
2025-01-31,inst-b,gastrointestinal,40,4,0,1.0,32.29,33.79
2025-01-31,inst-b,other,8,4,0,1.0,7.14,6.14
2025-01-31,inst-b,respiratory,16,4,0,1.0,14.57,14.93
2025-02-01,inst-b,fever_flu,19,5,1,1.0,16.86,18.0
2025-02-01,inst-b,gastrointestinal,37,5,1,1.0,33.43,34.43
2025-02-01,inst-b,other,6,5,1,1.0,7.0,6.36
2025-02-01,inst-b,respiratory,16,5,1,1.0,14.14,15.14
2025-02-02,inst-b,fever_flu,13,6,1,1.0,17.57,17.71
2025-02-02,inst-b,gastrointestinal,33,6,1,1.0,34.0,34.36
2025-02-02,inst-b,other,0,6,1,1.0,5.57,6.14
2025-02-02,inst-b,respiratory,11,6,1,1.0,13.57,14.71
2025-02-03,inst-b,fever_flu,8,0,0,1.0,16.0,17.29
2025-02-03,inst-b,gastrointestinal,39,0,0,1.0,34.86,34.86
2025-02-03,inst-b,other,5,0,0,1.0,5.0,6.5
2025-02-03,inst-b,respiratory,17,0,0,1.0,13.43,14.64
2025-02-04,inst-b,fever_flu,18,1,0,1.0,15.43,16.64
2025-02-04,inst-b,gastrointestinal,45,1,0,1.0,37.0,34.86
2025-02-04,inst-b,other,5,1,0,1.0,5.14,6.43
2025-02-04,inst-b,respiratory,17,1,0,1.0,14.57,14.79
2025-02-05,inst-b,fever_flu,15,2,0,1.0,14.71,16.71
2025-02-05,inst-b,gastrointestinal,40,2,0,1.0,39.29,35.07
2025-02-05,inst-b,other,5,2,0,1.0,4.86,6.21
2025-02-05,inst-b,respiratory,13,2,0,1.0,14.14,14.79
2025-02-06,inst-b,fever_flu,19,3,0,1.0,15.14,16.71
2025-02-06,inst-b,gastrointestinal,27,3,0,1.0,37.29,34.0
2025-02-06,inst-b,other,12,3,0,1.0,5.86,6.57
2025-02-06,inst-b,respiratory,13,3,0,1.0,14.71,14.36
2025-02-07,inst-b,fever_flu,17,4,0,1.0,15.57,16.64
2025-02-07,inst-b,gastrointestinal,31,4,0,1.0,36.0,34.14
2025-02-07,inst-b,other,3,4,0,1.0,5.14,6.14
2025-02-07,inst-b,respiratory,16,4,0,1.0,14.71,14.64
2025-02-08,inst-b,fever_flu,17,5,1,1.0,15.29,16.07
2025-02-08,inst-b,gastrointestinal,31,5,1,1.0,35.14,34.29
2025-02-08,inst-b,other,16,5,1,1.0,6.57,6.79
2025-02-08,inst-b,respiratory,18,5,1,1.0,15.0,14.57
2025-02-09,inst-b,fever_flu,16,6,1,1.0,15.71,16.64
2025-02-09,inst-b,gastrointestinal,27,6,1,1.0,34.29,34.14
2025-02-09,inst-b,other,10,6,1,1.0,8.0,6.79
2025-02-09,inst-b,respiratory,15,6,1,1.0,15.57,14.57
2025-02-10,inst-b,fever_flu,22,0,0,1.0,17.71,16.86
2025-02-10,inst-b,gastrointestinal,24,0,0,1.0,32.14,33.5
2025-02-10,inst-b,other,5,0,0,1.0,8.0,6.5
2025-02-10,inst-b,respiratory,15,0,0,1.0,15.29,14.36
2025-02-11,inst-b,fever_flu,16,1,0,1.0,17.43,16.43
2025-02-11,inst-b,gastrointestinal,38,1,0,1.0,31.14,34.07
2025-02-11,inst-b,other,11,1,0,1.0,8.86,7.0
2025-02-11,inst-b,respiratory,22,1,0,1.0,16.0,15.29
2025-02-12,inst-b,fever_flu,19,2,0,1.0,18.0,16.36
2025-02-12,inst-b,gastrointestinal,36,2,0,1.0,30.57,34.93
2025-02-12,inst-b,other,4,2,0,1.0,8.71,6.79
2025-02-12,inst-b,respiratory,14,2,0,1.0,16.14,15.14
2025-02-13,inst-b,fever_flu,16,3,0,1.0,17.57,16.36
2025-02-13,inst-b,gastrointestinal,38,3,0,1.0,32.14,34.71
2025-02-13,inst-b,other,6,3,0,1.0,7.86,6.86
2025-02-13,inst-b,respiratory,12,3,0,1.0,16.0,15.36
2025-02-14,inst-b,fever_flu,27,4,0,1.0,19.0,17.29
2025-02-14,inst-b,gastrointestinal,34,4,0,1.0,32.57,34.29
2025-02-14,inst-b,other,4,4,0,1.0,8.0,6.57
2025-02-14,inst-b,respiratory,10,4,0,1.0,15.14,14.93
2025-02-15,inst-b,fever_flu,17,5,1,1.0,19.0,17.14
2025-02-15,inst-b,gastrointestinal,39,5,1,1.0,33.71,34.43
2025-02-15,inst-b,other,8,5,1,1.0,6.86,6.71
2025-02-15,inst-b,respiratory,14,5,1,1.0,14.57,14.79
2025-02-16,inst-b,fever_flu,16,6,1,1.0,19.0,17.36
2025-02-16,inst-b,gastrointestinal,33,6,1,1.0,34.57,34.43
2025-02-16,inst-b,other,10,6,1,1.0,6.86,7.43
2025-02-16,inst-b,respiratory,9,6,1,1.0,13.71,14.64
2025-02-17,inst-b,fever_flu,20,0,0,1.0,18.71,18.21
2025-02-17,inst-b,gastrointestinal,47,0,0,1.0,37.86,35.0
2025-02-17,inst-b,other,8,0,0,1.0,7.29,7.64
2025-02-17,inst-b,respiratory,19,0,0,1.0,14.29,14.79
2025-02-18,inst-b,fever_flu,19,1,0,1.0,19.14,18.29
2025-02-18,inst-b,gastrointestinal,29,1,0,1.0,36.57,33.86
2025-02-18,inst-b,other,6,1,0,1.0,6.57,7.71
2025-02-18,inst-b,respiratory,15,1,0,1.0,13.29,14.64
2025-02-19,inst-b,fever_flu,12,2,0,1.0,18.14,18.07
2025-02-19,inst-b,gastrointestinal,38,2,0,1.0,36.86,33.71
2025-02-19,inst-b,other,10,2,0,1.0,7.43,8.07
2025-02-19,inst-b,respiratory,14,2,0,1.0,13.29,14.71
2025-02-20,inst-b,fever_flu,8,3,0,1.0,17.0,17.29
2025-02-20,inst-b,gastrointestinal,31,3,0,1.0,35.86,34.0
2025-02-20,inst-b,other,5,3,0,1.0,7.29,7.57
2025-02-20,inst-b,respiratory,19,3,0,1.0,14.29,15.14
2025-02-21,inst-b,fever_flu,13,4,0,1.0,15.0,17.0
2025-02-21,inst-b,gastrointestinal,30,4,0,1.0,35.29,33.93
2025-02-21,inst-b,other,5,4,0,1.0,7.43,7.71
2025-02-21,inst-b,respiratory,19,4,0,1.0,15.57,15.36
2025-02-22,inst-b,fever_flu,16,5,1,1.0,14.86,16.93
2025-02-22,inst-b,gastrointestinal,34,5,1,1.0,34.57,34.14
2025-02-22,inst-b,other,6,5,1,1.0,7.14,7.0
2025-02-22,inst-b,respiratory,17,5,1,1.0,16.0,15.29
2025-02-23,inst-b,fever_flu,24,6,1,1.0,16.0,17.5
2025-02-23,inst-b,gastrointestinal,25,6,1,1.0,33.43,34.0
2025-02-23,inst-b,other,6,6,1,1.0,6.57,6.71
2025-02-23,inst-b,respiratory,12,6,1,1.0,16.43,15.07
2025-02-24,inst-b,fever_flu,22,0,0,1.0,16.29,17.5
2025-02-24,inst-b,gastrointestinal,40,0,0,1.0,32.43,35.14
2025-02-24,inst-b,other,6,0,0,1.0,6.29,6.79
2025-02-24,inst-b,respiratory,19,0,0,1.0,16.43,15.36
2025-02-25,inst-b,fever_flu,13,1,0,1.0,15.43,17.29
2025-02-25,inst-b,gastrointestinal,30,1,0,1.0,32.57,34.57
2025-02-25,inst-b,other,8,1,0,1.0,6.57,6.57
2025-02-25,inst-b,respiratory,15,1,0,1.0,16.43,14.86
2025-02-26,inst-b,fever_flu,14,2,0,1.0,15.71,16.93
2025-02-26,inst-b,gastrointestinal,37,2,0,1.0,32.43,34.64
2025-02-26,inst-b,other,7,2,0,1.0,6.14,6.79
2025-02-26,inst-b,respiratory,8,2,0,1.0,15.57,14.43
2025-02-27,inst-b,fever_flu,20,3,0,1.0,17.43,17.21
2025-02-27,inst-b,gastrointestinal,29,3,0,1.0,32.14,34.0
2025-02-27,inst-b,other,5,3,0,1.0,6.14,6.71
2025-02-27,inst-b,respiratory,15,3,0,1.0,15.0,14.64
2025-02-28,inst-b,fever_flu,17,4,0,1.0,18.0,16.5
2025-02-28,inst-b,gastrointestinal,22,4,0,1.0,31.0,33.14
2025-02-28,inst-b,other,12,4,0,1.0,7.14,7.29
2025-02-28,inst-b,respiratory,17,4,0,1.0,14.71,15.14
2025-03-01,inst-b,fever_flu,19,5,1,1.0,18.43,16.64
2025-03-01,inst-b,gastrointestinal,26,5,1,1.0,29.86,32.21
2025-03-01,inst-b,other,7,5,1,1.0,7.29,7.21
2025-03-01,inst-b,respiratory,9,5,1,1.0,13.57,14.79
2025-03-02,inst-b,fever_flu,19,6,1,1.0,17.71,16.86
2025-03-02,inst-b,gastrointestinal,33,6,1,1.0,31.0,32.21
2025-03-02,inst-b,other,10,6,1,1.0,7.86,7.21
2025-03-02,inst-b,respiratory,15,6,1,1.0,14.0,15.21
2025-03-03,inst-b,fever_flu,20,0,0,1.0,17.43,16.86
2025-03-03,inst-b,gastrointestinal,29,0,0,1.0,29.43,30.93
2025-03-03,inst-b,other,12,0,0,1.0,8.71,7.5
2025-03-03,inst-b,respiratory,15,0,0,1.0,13.43,14.93
2025-03-04,inst-b,fever_flu,21,1,0,1.0,18.57,17.0
2025-03-04,inst-b,gastrointestinal,24,1,0,1.0,28.57,30.57
2025-03-04,inst-b,other,6,1,0,1.0,8.43,7.5
2025-03-04,inst-b,respiratory,13,1,0,1.0,13.14,14.79
2025-03-05,inst-b,fever_flu,14,2,0,1.0,18.57,17.14
2025-03-05,inst-b,gastrointestinal,34,2,0,1.0,28.14,30.29
2025-03-05,inst-b,other,6,2,0,1.0,8.29,7.21
2025-03-05,inst-b,respiratory,4,2,0,1.0,12.57,14.07
2025-03-06,inst-b,fever_flu,20,3,0,1.0,18.57,18.0
2025-03-06,inst-b,gastrointestinal,31,3,0,1.0,28.43,30.29
2025-03-06,inst-b,other,5,3,0,1.0,8.29,7.21
2025-03-06,inst-b,respiratory,15,3,0,1.0,12.57,13.79
