date,institution_id,syndrome_category,service_count,day_of_week,is_holiday,data_completeness,rolling_7day_avg,rolling_14day_avg
2025-01-01,inst-c,fever_flu,15,2,0,1.0,15.0,15.0
2025-01-01,inst-c,gastrointestinal,6,2,0,1.0,6.0,6.0
2025-01-01,inst-c,other,4,2,0,1.0,4.0,4.0
2025-01-01,inst-c,respiratory,2,2,0,1.0,2.0,2.0
2025-01-02,inst-c,fever_flu,16,3,0,1.0,15.5,15.5
2025-01-02,inst-c,gastrointestinal,5,3,0,1.0,5.5,5.5
2025-01-02,inst-c,other,5,3,0,1.0,4.5,4.5
2025-01-02,inst-c,respiratory,5,3,0,1.0,3.5,3.5
2025-01-03,inst-c,fever_flu,22,4,0,1.0,17.67,17.67
2025-01-03,inst-c,gastrointestinal,8,4,0,1.0,6.33,6.33
2025-01-03,inst-c,other,4,4,0,1.0,4.33,4.33
2025-01-03,inst-c,respiratory,9,4,0,1.0,5.33,5.33
2025-01-04,inst-c,fever_flu,28,5,1,1.0,20.25,20.25
2025-01-04,inst-c,gastrointestinal,9,5,1,1.0,7.0,7.0
2025-01-04,inst-c,other,10,5,1,1.0,5.75,5.75
2025-01-04,inst-c,respiratory,4,5,1,1.0,5.0,5.0
2025-01-05,inst-c,fever_flu,14,6,1,1.0,19.0,19.0
2025-01-05,inst-c,gastrointestinal,6,6,1,1.0,6.8,6.8
2025-01-05,inst-c,other,5,6,1,1.0,5.6,5.6
2025-01-05,inst-c,respiratory,5,6,1,1.0,5.0,5.0
2025-01-06,inst-c,fever_flu,19,0,0,1.0,19.0,19.0
2025-01-06,inst-c,gastrointestinal,3,0,0,1.0,6.17,6.17
2025-01-06,inst-c,other,4,0,0,1.0,5.33,5.33
2025-01-06,inst-c,respiratory,7,0,0,1.0,5.33,5.33
2025-01-07,inst-c,fever_flu,16,1,0,1.0,18.57,18.57
2025-01-07,inst-c,gastrointestinal,1,1,0,1.0,5.43,5.43
2025-01-07,inst-c,other,0,1,0,1.0,4.57,4.57
2025-01-07,inst-c,respiratory,5,1,0,1.0,5.29,5.29
2025-01-08,inst-c,fever_flu,23,2,0,1.0,19.71,19.12
2025-01-08,inst-c,gastrointestinal,0,2,0,1.0,4.57,4.75
2025-01-08,inst-c,other,7,2,0,1.0,5.0,4.88
2025-01-08,inst-c,respiratory,4,2,0,1.0,5.57,5.12
2025-01-09,inst-c,fever_flu,13,3,0,1.0,19.29,18.44
2025-01-09,inst-c,gastrointestinal,9,3,0,1.0,5.14,5.22
2025-01-09,inst-c,other,10,3,0,1.0,5.71,5.44
2025-01-09,inst-c,respiratory,6,3,0,1.0,5.71,5.22
2025-01-10,inst-c,fever_flu,24,4,0,1.0,19.57,19.0
2025-01-10,inst-c,gastrointestinal,4,4,0,1.0,4.57,5.1
2025-01-10,inst-c,other,2,4,0,1.0,5.43,5.1
2025-01-10,inst-c,respiratory,8,4,0,1.0,5.57,5.5
2025-01-11,inst-c,fever_flu,21,5,1,1.0,18.57,19.18
2025-01-11,inst-c,gastrointestinal,5,5,1,1.0,4.0,5.09
2025-01-11,inst-c,other,4,5,1,1.0,4.57,5.0
2025-01-11,inst-c,respiratory,4,5,1,1.0,5.57,5.36
2025-01-12,inst-c,fever_flu,25,6,1,1.0,20.14,19.67
2025-01-12,inst-c,gastrointestinal,6,6,1,1.0,4.0,5.17
2025-01-12,inst-c,other,5,6,1,1.0,4.57,5.0
2025-01-12,inst-c,respiratory,10,6,1,1.0,6.29,5.75
2025-01-13,inst-c,fever_flu,6,0,0,1.0,18.29,18.62
2025-01-13,inst-c,gastrointestinal,5,0,0,1.0,4.29,5.15
2025-01-13,inst-c,other,4,0,0,1.0,4.57,4.92
2025-01-13,inst-c,respiratory,0,0,0,1.0,5.29,5.31
2025-01-14,inst-c,fever_flu,21,1,0,1.0,19.0,18.79
2025-01-14,inst-c,gastrointestinal,10,1,0,1.0,5.57,5.5
2025-01-14,inst-c,other,5,1,0,1.0,5.29,4.93
2025-01-14,inst-c,respiratory,1,1,0,1.0,4.71,5.0
2025-01-15,inst-c,fever_flu,20,2,0,1.0,18.57,19.14
2025-01-15,inst-c,gastrointestinal,2,2,0,1.0,5.86,5.21
2025-01-15,inst-c,other,5,2,0,1.0,5.0,5.0
2025-01-15,inst-c,respiratory,8,2,0,1.0,5.29,5.43
2025-01-16,inst-c,fever_flu,22,3,0,1.0,19.86,19.57
2025-01-16,inst-c,gastrointestinal,8,3,0,1.0,5.71,5.43
2025-01-16,inst-c,other,6,3,0,1.0,4.43,5.07
2025-01-16,inst-c,respiratory,6,3,0,1.0,5.29,5.5
2025-01-17,inst-c,fever_flu,18,4,0,1.0,19.0,19.29
2025-01-17,inst-c,gastrointestinal,3,4,0,1.0,5.57,5.07
2025-01-17,inst-c,other,5,4,0,1.0,4.86,5.14
2025-01-17,inst-c,respiratory,1,4,0,1.0,4.29,4.93
2025-01-18,inst-c,fever_flu,33,5,1,1.0,20.71,19.64
2025-01-18,inst-c,gastrointestinal,13,5,1,1.0,6.71,5.36
2025-01-18,inst-c,other,8,5,1,1.0,5.43,5.0
2025-01-18,inst-c,respiratory,4,5,1,1.0,4.29,4.93
2025-01-19,inst-c,fever_flu,19,6,1,1.0,19.86,20.0
2025-01-19,inst-c,gastrointestinal,6,6,1,1.0,6.71,5.36
2025-01-19,inst-c,other,7,6,1,1.0,5.71,5.14
2025-01-19,inst-c,respiratory,7,6,1,1.0,3.86,5.07
2025-01-20,inst-c,fever_flu,18,0,0,1.0,21.57,19.93
2025-01-20,inst-c,gastrointestinal,1,0,0,1.0,6.14,5.21
2025-01-20,inst-c,other,4,0,0,1.0,5.71,5.14
2025-01-20,inst-c,respiratory,5,0,0,1.0,4.57,4.93
2025-01-21,inst-c,fever_flu,14,1,0,1.0,20.57,19.79
2025-01-21,inst-c,gastrointestinal,2,1,0,1.0,5.0,5.29
2025-01-21,inst-c,other,10,1,0,1.0,6.43,5.86
2025-01-21,inst-c,respiratory,0,1,0,1.0,4.43,4.57
2025-01-22,inst-c,fever_flu,20,2,0,1.0,20.57,19.57
2025-01-22,inst-c,gastrointestinal,1,2,0,1.0,4.86,5.36
2025-01-22,inst-c,other,1,2,0,1.0,5.86,5.43
2025-01-22,inst-c,respiratory,6,2,0,1.0,4.14,4.71
2025-01-23,inst-c,fever_flu,18,3,0,1.0,20.0,19.93
2025-01-23,inst-c,gastrointestinal,4,3,0,1.0,4.29,5.0
2025-01-23,inst-c,other,9,3,0,1.0,6.29,5.36
2025-01-23,inst-c,respiratory,8,3,0,1.0,4.43,4.86
2025-01-24,inst-c,fever_flu,16,4,0,1.0,19.71,19.36
2025-01-24,inst-c,gastrointestinal,2,4,0,1.0,4.14,4.86
2025-01-24,inst-c,other,8,4,0,1.0,6.71,5.79
2025-01-24,inst-c,respiratory,2,4,0,1.0,4.57,4.43
2025-01-25,inst-c,fever_flu,23,5,1,1.0,18.29,19.5
2025-01-25,inst-c,gastrointestinal,0,5,1,1.0,2.29,4.5
2025-01-25,inst-c,other,8,5,1,1.0,6.71,6.07
2025-01-25,inst-c,respiratory,3,5,1,1.0,4.43,4.36
2025-01-26,inst-c,fever_flu,22,6,1,1.0,18.71,19.29
2025-01-26,inst-c,gastrointestinal,5,6,1,1.0,2.14,4.43
2025-01-26,inst-c,other,10,6,1,1.0,7.14,6.43
2025-01-26,inst-c,respiratory,10,6,1,1.0,4.86,4.36
2025-01-27,inst-c,fever_flu,18,0,0,1.0,18.71,20.14
2025-01-27,inst-c,gastrointestinal,4,0,0,1.0,2.57,4.36
2025-01-27,inst-c,other,6,0,0,1.0,7.43,6.57
2025-01-27,inst-c,respiratory,0,0,0,1.0,4.14,4.36
2025-01-28,inst-c,fever_flu,4,1,0,1.0,17.29,18.93
2025-01-28,inst-c,gastrointestinal,5,1,0,1.0,3.0,4.0
2025-01-28,inst-c,other,3,1,0,1.0,6.43,6.43
2025-01-28,inst-c,respiratory,3,1,0,1.0,4.57,4.5
2025-01-29,inst-c,fever_flu,18,2,0,1.0,17.0,18.79
2025-01-29,inst-c,gastrointestinal,2,2,0,1.0,3.14,4.0
2025-01-29,inst-c,other,6,2,0,1.0,7.14,6.5
2025-01-29,inst-c,respiratory,6,2,0,1.0,4.57,4.36
2025-01-30,inst-c,fever_flu,14,3,0,1.0,16.43,18.21
2025-01-30,inst-c,gastrointestinal,6,3,0,1.0,3.43,3.86
2025-01-30,inst-c,other,5,3,0,1.0,6.57,6.43
2025-01-30,inst-c,respiratory,4,3,0,1.0,4.0,4.21
2025-01-31,inst-c,fever_flu,17,4,0,1.0,16.57,18.14
2025-01-31,inst-c,gastrointestinal,6,4,0,1.0,4.0,4.07
2025-01-31,inst-c,other,6,4,0,1.0,6.29,6.5
2025-01-31,inst-c,respiratory,7,4,0,1.0,4.71,4.64
2025-02-01,inst-c,fever_flu,32,5,1,1.0,17.86,18.07
2025-02-01,inst-c,gastrointestinal,2,5,1,1.0,4.29,3.29
2025-02-01,inst-c,other,6,5,1,1.0,6.0,6.36
2025-02-01,inst-c,respiratory,9,5,1,1.0,5.57,5.0
2025-02-02,inst-c,fever_flu,18,6,1,1.0,17.29,18.0
2025-02-02,inst-c,gastrointestinal,10,6,1,1.0,5.0,3.57
2025-02-02,inst-c,other,5,6,1,1.0,5.29,6.21
2025-02-02,inst-c,respiratory,8,6,1,1.0,5.29,5.07
2025-02-03,inst-c,fever_flu,26,0,0,1.0,18.43,18.57
2025-02-03,inst-c,gastrointestinal,3,0,0,1.0,4.86,3.71
2025-02-03,inst-c,other,2,0,0,1.0,4.71,6.07
2025-02-03,inst-c,respiratory,4,0,0,1.0,5.86,5.0
2025-02-04,inst-c,fever_flu,11,1,0,1.0,19.43,18.36
2025-02-04,inst-c,gastrointestinal,5,1,0,1.0,4.86,3.93
2025-02-04,inst-c,other,4,1,0,1.0,4.86,5.64
2025-02-04,inst-c,respiratory,3,1,0,1.0,5.86,5.21
2025-02-05,inst-c,fever_flu,18,2,0,1.0,19.43,18.21
2025-02-05,inst-c,gastrointestinal,4,2,0,1.0,5.14,4.14
2025-02-05,inst-c,other,4,2,0,1.0,4.57,5.86
2025-02-05,inst-c,respiratory,6,2,0,1.0,5.86,5.21
2025-02-06,inst-c,fever_flu,28,3,0,1.0,21.43,18.93
2025-02-06,inst-c,gastrointestinal,6,3,0,1.0,5.14,4.29
2025-02-06,inst-c,other,5,3,0,1.0,4.57,5.57
2025-02-06,inst-c,respiratory,1,3,0,1.0,5.43,4.71
2025-02-07,inst-c,fever_flu,14,4,0,1.0,21.0,18.79
2025-02-07,inst-c,gastrointestinal,7,4,0,1.0,5.29,4.64
2025-02-07,inst-c,other,10,4,0,1.0,5.14,5.71
